user,user_id,when,review,cafe_id
Bilal Motley,2,6 months ago,Love this place! Great food. Excellent service. Convenient hours. Highly recommend.,35
Luis Santiago,3,2 months ago,"Staff were extremely warm and friendly. The drinks were good and they have so many flavor you can add to your drink. There is plenty of seating area, plus seating at the window to people watch! And great ambient music that you can enjoy if you forget your headphone’s like me.",35
Sara Mascelli,4,2 months ago,"The stellar team at Good Karma on Broad are the reason I am a regular. Besides the amazing treats and seasonal drinks, their warmth and kindness makes my day. Every single morning, I can count on the GK employees to provide excellent service and even better- a personable and fun-loving atmosphere.",35
Mark Quinn,5,2 months ago,"Love this place! Light atmosphere, friendly staff, and good food. I STRONGLY recommend the ""Apple of My Eye""--get it on a cinnamon raisin bagel. Their red eyes are fresh and strong, and the baristas always have a smile.",35
Angel Perez,6,4 months ago,Customer service was ehhh didn't look too excited. The breakfast sandwich almost 10 bucks where was the egg at little piece of sausage and one slice of cheap cheese.  Please don't make the mistake I did. Go somewhere else. I had to wash down that nasty taste with a slice of pizza around the corner at Paulie Gee for half the price.,35
Richard W,7,a year ago,"The brew will delight the typical consumer as it’s in line with what most people think of as “coffee”, but coffee nerds will hate it. Over-roasted to charcoal, strong, with bitterness that lingers on the palate for a long time. No nuances in flavor. Be aware that most of the ratings come from theatergoers.",35
Megan Gwaltney,8,10 months ago,"If possible, I'd leave a separate review for dining in versus takeout.

This is a great atmosphere for getting some work done. I love the seating …",35
N M,9,2 weeks ago,Thank you to the barista working this evening! She was very hospitable and made a mean smoothie!,35
anika islam,10,a year ago,comfy cute cafe to study at!! my first time there and their specialty drinks were pretty good :),35
Lauren Murphy-Sands,11,8 months ago,"This place is a necessary addition to South Broad. The coffee is fabulous. There are comfy chairs, and the baristas are wonderfully sweet. The hours are very accessible also. 7-7 catches the morning rush as well as the evening drop in crowd. Love this cafe :)",35
Sarfaraz Ahmed,12,2 years ago,"Nice restaurant on the Broad Street, with fresh and quality food, serving size is good, staff is friendly. We tried bagels and coffee for breakfast and it was tasty.",35
Kev Gallagher,13,10 months ago,"This is a hidden gem in *broad*daylight at the Miriam theatre. It’s quiet, chill, large with lots of seats. Great staff and tasty menu. People watching from the front window is fun too.",35
Wayne Zavotsky,14,a month ago,"Delicious food, friendly staff and a beautiful atmosphere!",35
Lebronybronbron Jamesyjamers,15,a year ago,Out of towner and luckily had this spot by our Airbnb. Got coffee everyday and every person that works here has been so friendly and kind. Great coffee! Plus the food is awesome. The Popeye and classic bagel sandwiches were great!,35
Michael Klein,16,10 months ago,Probably the worst latte I've ever had.  Usually with whole milk you don't have to add sugar.  This coffee was so burnt and bitter that two packets of sugar didn't fix it. …,35
Linda hi Brown,17,a year ago,Sevice here at karma cafe is not good coffee and stuff is great but the worker are not nice especially Orlando I don't think it appropriate for any worker to be serving food in a wife beater and said it's a part of their uniform and told me …,35
Lyla Kiel,18,2 months ago,Love it here! Great drinks and staff!,35
Chris Taylor,19,5 years ago,It's a nice space. A lot of people appeared very hard at work here. There is modern art on the walls. The coffee was ok.,35
Brianna Wells,20,a year ago,"Really cool staff usually very on-point. Food is awesome. Love the banana chocolate smoothie, it's a dream, as well as the bacon/egg/cheese on a bagel. Like that they have restrooms available. Always available seating when I've come. A …",35
Sandy Smith,21,8 months ago,"Chill vibe in the Wilma Theater lobby. Great coffee, too",35
"Kirshon, Amelio",22,11 months ago,"Brynn Smith is one of the greatest, most wonderful baristas I’ve ever experienced in my young life. It was her birthday today, and her service was MORE than impeccable. I am feeling BLESSED on this fine Thursday morning. May everyone experience a barista as kind, wonderful, and fashionably dressed as Brynn Smith.",35
Evan D,23,a year ago,Brynn S was so helpful recommending new drinks for me to try! She was extremely accommodating to my food allergy and helped make modifications so I could enjoy! 10/10 service from Brynn,35
Mathieu Pregeant,24,a year ago,"Amazing place to enjoy a drink ☕ while working ! 💻
Their coconut 🥥mocha 🍫 is really nice as well as their bagels 🥯 ! …",35
Joanah Nwokeabia,25,3 months ago,This cafe charges 30% more for non-dairy substitutes in coffee. Absolute greed.,35
Katty,26,3 years ago,Great coffee and good eats. Staff is really friendly. Very clean.,35
Laura Lopez,27,a year ago,"I come here all the time and I really love what I get every time. However, I'm really tired of them closing the kitchen down whenever they feel like. They close at 5 so it would make sense to close the kitchen at 4, however that's not …",35
Evelisse de Jesús Ortiz,28,3 years ago,Really nice and peaceful place. Good coffee.,35
Donnie M,29,a year ago,"As I missed my bus to work I remembered this a couple of blocks away. Good coffee, nice atmosphere both inside and facing the Kimmel. The barista was super friendly with a goodbye and have a great day...I guess I need to start missing my bus more often. hahaha",35
Kyla Jade,30,2 years ago,"Absolutely lovely cafe! The staff was very helpful and polite, and my drink was made really quickly! I was conflicted on what to get, and the lovely young man at the register made suggestions and helped me pick the perfect iced tea for me! I would absolutely visit again :)",35
Luke Cach,31,a year ago,Gave me a breakfast sandwich with uncooked egg. Not just a little but noticeable translucent egg white falling out the bottom of the bagel sandwich. …,35
Anna N.,32,a year ago,I went in for a bag of coffee for my home. The barista asked me if I wanted a half pound or whole pound - I said whole pound. He then handed me a regular coffee pouch that was 75% full.. it was no way a full pound. I have a full pound at …,35
Courtney Brunson,33,2 years ago,"I will caveat that my experience may be based at the time of day we purchased. TLDR: Mediocre, overpriced sandwiches with very limited selection and unhygienic staff. …",35
Caitlin M Anderson,34,2 months ago,The best!! Arraby was so sweet and helpful,35
Em,35,5 years ago,"Absolutely lovely cafe. Wonderful atmosphere, great people. The open mic nights are phenomenal and wonderful artists flourish here. I absolutely want to come back and keep coming back. I know nothing about coffee, but their smoothies are …",35
Katherine Innamorati (Kaytie),36,a year ago,"Love this place. The best chai in the city. Shout-out to Orlando, who has always been extraordinarily helpful and the most respectful employee.",35
Julius Krieger,37,a year ago,"Servuce was quick and pleasant.  I went to pick up waste-free bags for the eco friendly app they use ""Too Good to Go."" Got some of yesterday's bagels.  Put some water on them and popped em in the oven and they were good to go!  Love that they're part of being an eco friendly business!",35
Susan Ramlet,38,a year ago,"They didn't have the item on the menu we wanted for breakfast (a breakfast bowl), and the bagel sandwich only had one kind of bagel (plain). It was a quick an affordable breakfast option for us in a nearby hotel, but I had higher hopes.",35
Mihai V,39,2 years ago,"Great place to start the day, good coffee, tasty breakfast and friendly staff.",35
Ana,40,a year ago,"Bad business, no not support them. Owners' union busting practices including delaying contract votes, high turnover to oust original union members, and closing locations for renovations to lay off union staff led to the decertification of their union in Sept 2023.",35
paul antonio etchison,41,2 years ago,Use to go to the Pine street. Location every night after work before Covid changed itsand then I never had the opportunity afterwards because it didnt stay open past 5. I found this story by accident after an Appointment nearby. I was …,35
Katy,42,2 years ago,"Love their bagel with cream cheese and jam, and their iced coffee is great. Nice people. Great study place. It is a bit more expensive than most but worth a visit once in a while!",35
Pamela Jimenez-Rodriguez,43,11 months ago,The staff is always so welcoming. I had Brynn take my order and she's always so sweet.,35
Adam G.,44,5 years ago,Delicious food and drinks! The customer service is great.,35
Sima Toler,45,5 years ago,"Service is friendly and quick! Location is good and the space is very open! The drinks are made perfectly by a staff who really seems to know what theyre doing! Its always a worthwhile stop for coffee, tea, or lattes, but especially hot chocolate in the winter!",35
James Betts,46,2 years ago,"Food and coffee is good, but it’s a roll of the dice if  they’re accepting online orders, or if they just plain closed their kitchen. If I order online it’s 50/50 they’re out of something and cancel my order, or they just list themselves as closed so I can’t order altogether, when they’re listed as open everywhere else.",35
Maria Rotondo,47,11 months ago,Literally the cutest atmosphere with very nice workers and great iced tea that’s fresh!!,35
Jake Voorhees,48,2 years ago,"Haven’t been here since the location reopened. Walked in, place was not busy. There was a 18 year old white guy, young/middle age Black woman, and younger woman on the w red hair. No one looked up or greeted us, we even commented and said hello. Barely any respond so we walked out and will never go back to either location.",35
Neal Elliott,49,a year ago,Great local coffee shop with fresh bagels.,35
Matthew Mulkay,50,2 years ago,"Store was closed, and all doors locked at 2:40pm sat 11/26, despite an employee being seen inside. Sign on door, as well as website, all said that they closed at 3pm. If they close early, at the least a sign should be put on the door so customers know, irbid this isn’t a one time closure they should update signs and hours on website.",35
Jessica DeHerrera,51,6 years ago,"The barista was friendly, the menu was creative, and my Violet Sunset was delicious.",35
Tom Glancey,52,5 months ago,Smoothie was delicious! Service was excellent!,35
Laura Malinowski,53,7 months ago,Strawberry Matcha on ice was a great way to start my day!,35
Susan Frazier,54,a year ago,"Friendly service, great food and coffee, nice atmosphere. If I lived nearby, I'd love to hang out here and make this spot my remote office for an afternoon.",35
Mikaela Snooks,55,a year ago,"The colonel mustard sandwich was delicious, the mango smoothie was delicious & refreshing and the almond croissant was drool-worthy 🤩 10/10 recommend! …",35
Josh Green,56,9 months ago,"this indie bih was geeking when i pulled up. that food was trash, specifically from Coe, the manager of that trash establishment",35
Peter F,57,10 months ago,Coe and his staff are phenomenal. A great place to sit and get something to eat.,35
Jason Bauman,58,6 years ago,Stopped in here before the play and pleasantly surprised. Creative seasonal drink menu served quickly and at the perfect temperature. Biodegradable cups a very nice plus,35
Ben Williams,59,6 years ago,"Great re-use of the Wilma Theatre lobby space; Good Karma does great coffee and food, and makes perfect use of the airy lobby to implement their coffee shop vibe. I come here regularly, and it's fun to see the artsy folks that swing through …",35
Sharon Rice,60,7 years ago,The cafe at Wilma is a wonderful spot for a Sunday afternoon catching up with a friend or getting some work done. I spent my Sunday afternoon here writing and you get a chance to check out what shows are coming up and get a delicious cafe coffee creation.,35
idan wolf,61,2 years ago,"A very quite and relaxed place. I ordered a macchiato and an avocado toast. Got my order quickly, the coffee was smooth and the avocado toast was delicious.",35
Chris Adamo,62,2 years ago,"Cute Cafe with a great atmosphere. Loved my drinks and food, and there is a unique variety of flavors to choose from. Staff is friendly and helpful.",35
Elise Gill,63,2 years ago,Jamie was SUPER friendly and the coffee was the right mix of love and rocket fuel. Avocado toast was tasty AF.,35
Marissa G,64,2 years ago,"Excellent, spacious, and clean location in the lobby of the Wilma theater. Great food and drink options, plenty of room to work for awhile.",35
Penelope Wilde,65,a year ago,This is one of the most trendy places in center City. The decor is absolutely wonderful. I loved my smoothie.,35
April Shaw,66,4 years ago,"The atmosphere at this establishment is really lovely. It's great for a quick bite or a hang with friends. The staff are friendly, and the location is pretty convenient.",35
Alonso Crews,67,a year ago,Had placed an order online for pickup.drove 15 minutes to pick up at the cafe just to be told my order was canceled. Did not tell me it was canceled prior to showing up. Dont recommend this place,35
Lauren,68,6 years ago,"Great spot for a beverage or bite. I love that it's in the lobby of the Wilma theater with a cool/arty vibe. It's also open during shows there, which is especially nice.",35
Michelle Koehn,69,8 months ago,Yummy breakfast  Bagel. Staff was quick and friendly.,35
William Madison,70,6 years ago,Very chic and home like. The food is good and the beverages are great. Especially the smoothies!! I'd most certainly recommend it to others.,35
Aisha Dorley,71,7 years ago,"I got a movie which was really good. it's not really a quiet environment, but it is pleasant. the servers are nice and there is free wifi.",35
Jen Potter,72,a year ago,"Great place to grab coffee, tea food and maybe even see a show. Awesome location in Philly",35
cee chau,73,a year ago,This place is gonna be my #1 go to spot. The food was just as pleasing as the customer service.,35
Gwynlee Wms,74,6 years ago,Good customer service. Nice variety of coffee and tea. Limited pastry in the late afternoon. It was my first but not my last visit there,35
Moonstone Shadowwolf,75,a year ago,Sunday funday. Beautiful layout super friendly knowledgeable staff. Can't wait until next time 😀. …,35
Haley Simons,76,2 years ago,"Top notch service!! Don’t find that too often, plus AMAZING fresh tasting coffee! Perfect",35
Andrea Kuoni,77,3 years ago,"Lots of options for everyone. I got an iced caramel mocha and throughly enjoyed it. Also have alcohol options, lots of cocktails and wine available.",35
Connor Thomas,78,a year ago,"Coffee is very sub par, my smoothie was lacking as well. Good staff though",35
David Luong,79,6 years ago,Don't come to Good Karma Cafe if you plan on doing work/studying. They block everything besides literally Google and Facebook. They only have mediocre drinks as well. Disappointing.,35
Walter Adams,80,a year ago,"Great ☕️ coffee. The minute had a wide variety of food, and drinks",35
Andrea Carey,81,a year ago,Good brewed coffee + good music = great atmosphere to work from!,35
Teresa Nance,82,6 years ago,What a beautiful space.  This coffee shop is unexpectedly located inside of the Wilma Theater.   Great food too!,35
Josh Salzer,83,2 years ago,Really great staff and service as well as good drink and food options.,35
MIKY BLAK,84,6 years ago,"Awesome place to escape the hustle and bustle of Center City for a moment. Great coffee and free WiFi, what more can you ask for 😁 …",35
Sean M,85,3 years ago,"Good variety, friendly staff.  Restaurant was clean.  Enjoyed the Avocado toast!",35
Chris Hanes,86,11 months ago,Best joint in the city for a morning coffee and a smile!,35
D G,87,a year ago,Great Hot Chocolate. Friendly staff. Whats not to like?,35
A Long,88,2 months ago,The lemonade is fantastic!,35
Rachel Martin,89,3 years ago,Love GK's values. Support the GK union. Union coffee literally tastes better!,35
D D,90,2 years ago,"Great location & cozy fireplace, good winter coffee drinks!!",35
Nicole Banales,91,5 years ago,Pricey but good. Love how they're special drink selections change with the season.,35
Tammy Whittier,92,a year ago,Great matcha latte and power scramble. Yummy!!,35
S S,93,5 years ago,"Service, drinks, and food all get 5 stars. The espresso was literally my life source 🙌🏼 …",35
Noah Eichelberger,94,a year ago,They allowed me to charge my phone while I was waiting on a friend to come pick me up,35
Gina Reagan,95,5 years ago,"I like Good Carma Cafe. The service is always great, but the prices are high.",35
Bradford Buonasera,96,2 years ago,Incredible seasonal chai latte. Went everyday while visiting Philly.,35
Beth Irving,97,11 months ago,"Food was subpar, coffee good.",35
Pallasathena 1969,98,2 years ago,"What kind of karma do you think you’ll get for closing the stores that try to unionize? Oh, the irony…….",35
Wedge Wegman,99,2 years ago,Perfect cup of coffee before seeing a great show!,35
James DC,100,6 years ago,Great Iced Hot Chocolate and nice pleasant staff.,35
Mark Summers,101,2 years ago,Curious what kind of karma you think you'll build by shutting down the locations that have unionized?,35
Daniel Rodríguez-Colón,102,a week ago,"Honest review time: Black Turtle Coffee feels like a business. That’s not necessarily a bad thing, but a reflection of how they've structured their customer experience. Rules are posted everywhere, and the menu prioritizes efficiency and …",6
Lucia T,103,4 months ago,"The matcha latte and black drip coffee were decent and really appreciated the vegan pastry option (vegan croissants, pretty yummy) that they heated for you before serving. The non dairy milk options were $1 extra though",6
Dude,104,6 months ago,"In A Nutshell:

-Black Turtle Coffee is a legit coffee shop in Philly. …",6
Melany xo,105,6 months ago,"Awesome little coffee shop to try! I’m usually the type to want coffee around 5pm and instead of going to the Starbucks around the corner, I ended here giving this shop a shot. I don’t regret it one bit. They had lots of food and drink options! Staff was friendly and prices are reasonable.",6
Cannacares LLC,106,10 months ago,"Great atmosphere, solid cup of coffee and the food was flavorful.

The Caesar wrap was well seasoned and flavored without being too drippy like …",6
Don Brovero,107,4 weeks ago,I am a coffee snob. I love the taste of coffee. It is a comfort drink for me. I love  this places coffee. The Black Shell is my favorite but all flavors are really good. I get coffee free at work but instead stop here every morning. You have to try it.,6
Oleksii Zav,108,7 months ago,"Ordered 1 cortado and deliberately asked for decent latte art. And so I have recieved, although in a to-go cup. …",6
Cassandra Beresh,109,2 months ago,Such a cool place! My fiance and I were looking for local coffee shops while we were in Philly and came across this place! I got an iced vanilla oatmilk latte and he got a black drip coffee and it was honestly one of the best lattes I’ve …,6
Kelly Claypoole,110,2 months ago,"The shop has a relaxed vibe and service is friendly and consistent. Their dark roast drip coffee is excellent, especially on a cold winter morning. A little pricey, but the quality makes it a nice treat. Highly recommend!",6
Vanshika A,111,6 months ago,"I was very disappointed with my visit to Black Turtle coffee today. I was excited to visit a locally owned coffee shop and support a small business. We arrived, ordered drinks, and sat down to enjoy our yummy drinks (barista was great and …",6
Maxine Smith,112,a year ago,"Cute little place and comfortable space for working! I sat downstairs where the foot traffic was minimal and people were generally quiet, even when having conversations. Their wifi is also strong, which I really appreciated! That coupled …",6
Torin McFarland,113,7 months ago,"I haven't yet had their black coffee, so maybe that's their specialty (though my friends have reviewed that as okay, not great). I got a latte that was okay, but seemed to have less espresso (and less espresso flavor) than something …",6
alyssa hwang,114,5 months ago,"Nice enough cafe to get some work done. Its biggest benefit is that it is open the latest out of any cafe I've seen so far (8 PM). They have several small tables upstairs and some more seating downstairs (a couple couches, a few medium …",6
Haley M,115,a year ago,"Cute little cafe not far from the Franklin Institute. Stopped in with a few friends after seeing an ad for it on Instagram, and was not disappointed! I got a lavender vanilla latte and a red velvet muffin and they were both great. Would …",6
Lily W,116,a year ago,"I got the lucky charms latte, which is extremely sweet (so not recommended if you don’t have a sweet tooth), and it almost fully masks the coffee taste. I enjoyed it though. The reason for my 3 star rating is mostly due to the atmosphere. I …",6
Isidro Rivera,117,a year ago,"While staying in Philadelphia, I found this wonderful coffee shop. Near Rittenhouse Square, the shop offers a variety of coffees, teas, pastries, muffins, croissants, wraps,  sandwiches, and other yummy choices. The space with a bright and …",6
A Divine Canine,118,6 months ago,Delicious coffee and egg and cheese breakfast sandwich. The kook sauce is the bomb! Staff was super friendly.,6
John McEleney,119,a year ago,This is a new player in the coffee scene here in Philadelphia and I’m stoked that they’re here doing their thing! They are open later than the other cats closing at 8pm! That’s amazing! Elliot was rad and a bright barista with a wonderful …,6
Dashonda Haygood,120,a month ago,Made me leave as the only Black person not buying anything. Literally came in to take a 30 min Teams meeting. White people were greeted nicely. Would love to give 0 stars. Owner is racist!,6
Cedric Fitzgerald,121,9 months ago,"This opened up in my neighborhood within the past year, and recently I decided to step in. I got the Lavender Matcha Oat Milk Latte. It was the priciest drink I’ve gotten in my time living in the city at over $8. Being a matcha fan, I held …",6
Rebecca Davenport,122,a year ago,Found this little gem by accident and boy am I glad I did! I ordered the iced chai latte and a blueberry crumb muffin. My colleagues went more savory with the spinach and feta turnover. Everything was scrumptious. …,6
Ekrem cetinkaya,123,a year ago,"As an avid coffee shop goer and barista myself, I have to say my experience here was similar to the other reviewers. Not good. For starters, the coffee is INCREDIBLY expensive, almost 15 dollars for small cappuccino and small PSL (6.90!) …",6
Katie,124,8 months ago,"I ordered a specialty latte, the iced irish cream cream latte, they sent plain black coffee. No carmel flavoring (or any flavoring). No cream at all let alone irish cream. Photo attached with the sticker saying what my order is with black …",6
