1,Elixr Coffee Roasters,4.6,"(1,603)",$1–10,Coffee shop,207 S Sydenham St,Dine-in,Organic coffee shop,.
2,Café Tolia,4.8,(271),$10–20,Coffee shop,26 N 3rd St,Dine-in,,.
3,CNT Cafe,4.9,(130),$1–10,Coffee shop,716 N 3rd St,Dine-in,,.
4,Vernick Coffee Bar,4.4,(201),$1–10,Coffee shop,"lobby, Comcast Technology Center, 1800 Arch St 2nd floor",Dine-in,,.
5,The Ground Rittenhouse,4.7,(125),$1–10,Coffee shop,120 S 18th St,Dine-in,,.
6,Black Turtle Coffee,4.3,(311),$1–10,Coffee shop,2100 Chestnut St Fl 1,Dine-in,,.
7,Talula's Daily,4.6,(520),$10–20,Coffee shop,208 W Washington Square,Dine-in,Cafe/market for seasonal American dishes,undone
8,Chapterhouse Cafe & Gallery,4.6,(531),$1–10,Cafe,620 S 9th St,Dine-in,Fair Trade caffeine & local art,undone
9,Paris Baguette,4.5,(428),$$,Coffee shop,923 Arch St,Dine-in,Cafe with French pastries & sandwiches,undone
10,Good Karma Cafe,4.6,(555),$1–10,Cafe,928 Pine St,Dine-in,Chill coffeehouse with fair-trade blends,undone
11,Café Walnut,4.7,(357),$1–10,Coffee shop,703 Walnut St,Dine-in,Laid-back cafe for coffee & Korean meals,undone
12,Time & Peace Café and Gallery,4.9,(147),$1–10,Cafe,36 S 7th St,Dine-in,,undone
13,Matcha Panda Cafe,4.8,(415),$,Dessert shop,202 N 9th St,Dine-in,,undone
14,Café Square One,4.3,(76),$10–20,Cafe,1225 Walnut St,Dine-in,,.
15,Café Couleur Banh mì,4.9,(166),$10–20,Coffee shop,323 Arch St,Dine-in,,undone
16,Le Pain Quotidien,4.2,(640),$10–20,Coffee shop,801 Walnut St,Dine-in,Bakery/cafe chain with rustic-chic style,.
17,Cuor di Caffè,4.8,(131),$1–10,Coffee shop,100 Market St,Dine-in,,undone
18,Matcha Cafe Maiko,4.7,(228),$1–10,Cafe,923 Race St,Dine-in,,undone
19,Twisted Grounds,4.8,(174),$1–10,Coffee shop,547 N 20th St,Dine-in,,undone
20,Good Karma Cafe,4.5,(340),$1–10,Cafe,331 S 22nd St,Dine-in,Socially responsible espresso bar,undone
21,Vibrant Coffee Roasters & Bakery,4.6,(240),$1–10,Cafe,222 W Rittenhouse Square 1st Floor,Dine-in,,undone
22,Drip Vietnamese Cafe,4.8,(70),$1–10,Coffee shop,225 N 11th St,Dine-in,,undone
23,J'aime French Cafe,4.8,(87),$1–10,Coffee shop,401 S 17th St,Dine-in,,.
24,Nook Bakery & Coffee Bar,4.7,(361),$1–10,Coffee shop,15 S 20th St,Dine-in,Quaint cafe for varied roasts & treats,undone
25,Mr. Rabbit Coffee,4.8,(85),$1–10,Coffee shop,2301 Spruce St,Dine-in,,undone
26,Alchemy Coffee,4.4,(207),$1–10,Coffee shop,119 S 21st St,Dine-in,,undone
27,Cafe Ole,4.6,(736),$10–20,Cafe,147 N 3rd St,Dine-in,Brightly colored coffee shop,.
